,LEMMA,unknown1,ROOT,ROOT_PATTERN_STATUS,PATTERN_LEMMA_PROPOSED,Pattern Count,FORM,unknown2,pos,Rat,Gen,Num,COND-S,COND-T,GLOSS,STATUS,PATTERN STATUS,Lex Count,Ar Lemma,MSA LEMMA Cognate,OLD Status,60.57%,MISSING ENTRIES,comment
22,$Afiq,,$.f.q,BACKOFF-1,1A2i3,1470,$Afi#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,compassionate;sympathetic,OK,OK,1,شافِق,,QC-DONE,,,
23,$AfiT,,$.f.T,BACKOFF-1,1A2i3,1470,$Afi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شافِط,,QC-DONE,,,
24,$Afiy,,$.f.y,LOOKUP_DIAC-1,1A2i3,1470,$Afi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,healing;curative;bone_setter;healer;Jabir;Jaber;bonesetter,ACTPART,OK,1,شافِي,شافِي,QC-DONE,,,final iy should br removed and # remain
25,$Agil,,$.g.l,LOOKUP_DIAC-1,1A2i3,1470,$Agi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,working;functioning;filling,OK,OK,1,شاغِل,شاغِل,QC-DONE,,,
26,$Agiy,,$.g.y,BACKOFF-1,1A2i3,1470,$Agi#y,,noun,,,,#iy,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاغِي,,DONE,,,final iy should br removed and # remain
27,$AHib,,$.H.b,LOOKUP_DIAC-1,1A2i3,1470,$AHi#b,,adj,,,,,MS||MD||MP||FS,pale;emaciated,OK,OK,1,شاحِب,شاحِب,QC-DONE,,,
28,$Ahid,,$.h.d,LOOKUP_DIAC-1,1A2i3,1470,$Ahi#d,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,witnessing;viewing;witness;spectator;witnesses;spectators;illustration,OK,OK,1,شاهِد,شاهِد,QC-DONE,,,
29,$AHiH,,$.H.H,BACKOFF-1,1A2i3,1470,$AHi#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاحِح,,QC-DONE,,,
30,$Ahil,,$.h.l,BACKOFF-1,1A2i3,1470,$Ahi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاهِل,,QC-DONE,,,
31,$Ahiq,,$.h.q,LOOKUP_DIAC-1,1A2i3,1470,$Ahi#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,lofty;towering;heights,OK,OK,1,شاهِق,شاهِق,QC-DONE,,,
32,$AHit,,$.H.t,BACKOFF-1,1A2i3,1470,$AHi#t,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,2,شاحِت,,QC-DONE,,,
33,$AHiT,,$.H.T,LOOKUP_DIAC-1,1A2i3,1470,$AHi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,remote;distant;stranded,OK,OK,2,شاحِط,شاحِط,QC-DONE,,,
34,$AkiH,,$.k.H,BACKOFF-1,1A2i3,1470,$Aki#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاكِح,,QC-DONE,,,
35,$Akik,,$.k.k,BACKOFF-1,1A2i3,1470,$Aki#k,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاكِك,,QC-DONE,,,
36,$Akim,,$.k.m,BACKOFF-1,1A2i3,1470,$Aki#m,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاكِم,,QC-DONE,,,
37,$Akir,,$.k.r,LOOKUP_DIAC-1,1A2i3,1470,$Aki#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,thankful;grateful;shakir,OK,OK,1,شاكِر,شاكِر,QC-DONE,,,
38,$Alib,,$.l.b,BACKOFF-1,1A2i3,1470,$Ali#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شالِب,,QC-DONE,,,
39,$AliH,,$.l.H,BACKOFF-1,1A2i3,1470,$Ali#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شالِح,,QC-DONE,,,
40,$Alil,,$.l.l,BACKOFF-1,1A2i3,1470,$Ali#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شالِل,,QC-DONE,,,
41,$Amil,,$.m.l,LOOKUP_DIAC-1,1A2i3,1470,$Ami#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,comprehensive;general;complete;mass;collective;total;overall;total_um,OK,OK,1,شامِل,شامِل,QC-DONE,,,
42,$Amim,,$.m.m,BACKOFF-1,1A2i3,1470,$Ami#m,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شامِم,,QC-DONE,,,
43,$Amir,,$.m.r,BACKOFF-1,1A2i3,1470,$Ami#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,industrious;busily_at_work,OK,OK,1,شامِر,,QC-DONE,,,
44,$Amit,,$.m.t,LOOKUP_DIAC-1,1A2i3,1470,$Ami#t,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,malicious;gloating,OK,OK,2,شامِت,شامِت,QC-DONE,,,
45,ba$iE,,b.$.E,LOOKUP_DIAC-1,1a2i3,1470,ba$iE,,adj,,,,,MS||MD||MP||FS||FD||FP,ugly;repugnant,OK,OK,1,بَشِع,بَشِع,QC-DONE,,,
46,$AmiT,,$.m.T,BACKOFF-1,1A2i3,1470,$Ami#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,2,شامِط,,QC-DONE,,,
47,$Anif,,$.n.f,BACKOFF-1,1A2i3,1470,$Ani#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شانِف,,QC-DONE,,,
48,bahiy,,b.h.y,LOOKUP_DEDIAC-1,1a2i3,1470,bahi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,beautiful;brilliant;pleasant;shining_with_light;pretty;attractive,ACTPART,OK,1,بَهِي,بَهِيّ,QC-DONE,,,final iy should br removed and # remain
49,$Aniq,,$.n.q,BACKOFF-1,1A2i3,1470,$Ani#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شانِق,,QC-DONE,,,
50,$AniT,,$.n.T,BACKOFF-1,1A2i3,1470,$Ani#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شانِط,,QC-DONE,,,
51,$Aqil,,$.q.l,BACKOFF-1,1A2i3,1470,$Aqi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاقِل,,QC-DONE,,,
52,$Aqiq,,$.q.q,BACKOFF-1,1A2i3,1470,$Aqi#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاقِق,,QC-DONE,,,
53,$AqiT,,$.q.T,BACKOFF-1,1A2i3,1470,$Aqi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاقِط,,QC-DONE,,,
54,$Ari$,,$.r.$,BACKOFF-1,1A2i3,1470,$Ari#$,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شارِش,,QC-DONE,,,
55,$Arib,,$.r.b,LOOKUP_DIAC-1,1A2i3,1470,$Ari#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,drinking;drinker;drinkers;mustache,OK,OK,1,شارِب,شارِب,QC-DONE,,,
56,$Arid,,$.r.d,LOOKUP_DIAC-1,1A2i3,1470,$Ari#d,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,fugitive;wandering;fugitives;errant;vagabond;tramp;trivial;vagrant,OK,OK,1,شارِد,شارِد,QC-DONE,,,
57,$AriE,,$.r.E,LOOKUP_DIAC-1,1A2i3,1470,$awAriE,,noun,,,p,,MS ,street;streets;legislator;road;lawgiver,OK,OK,2,شارِع,شارِع,QC-DONE,,,
58,$AriE,,$.r.E,LOOKUP_DIAC-1,1A2i3,1470,$Ari#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,street;streets;legislator;road;lawgiver,OK,OK,2,شارِع,شارِع,QC-DONE,,,
59,$AriH,,$.r.H,LOOKUP_DIAC-1,1A2i3,1470,$Ari#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,explaining;commenting;commentator;expounder,OK,OK,2,شارِح,شارِح,QC-DONE,,,
60,$Ariq,,$.r.q,LOOKUP_DIAC-1,1A2i3,1470,$Ari#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,shining;beaming;brilliant;dazzling;thirsty,OK,OK,1,شارِق,شارِق,QC-DONE,,,
61,$AriT,,$.r.T,BACKOFF-1,1A2i3,1470,$Ari#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شارِط,,QC-DONE,,,
62,$Arix,,$.r.x,BACKOFF-1,1A2i3,1470,$Ari#x,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,cracking,OK,OK,1,شارِخ,,QC-DONE,,,
63,$Ariy,,$.r.y,LOOKUP_DIAC-1,1A2i3,1470,$Ari#y,,noun,,,,,MS||MD||MP||FS||FD||FP,buying;buyer;client;buyers;clients;lightning_rod,ACTPART,OK,1,شارِي,شارِي,QC-DONE,,,final iy should br removed and # remain
64,$AsiE,,$.s.E,LOOKUP_DIAC-1,1A2i3,1470,$Asi#E,,adj,,,,,MS||MD||MP||FS||FD||FP,wide;vast;extensive;huge,OK,OK,1,شاسِع,شاسِع,QC-DONE,,,
65,$ATib,,$.T.b,BACKOFF-1,1A2i3,1470,$ATi#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاطِب,,QC-DONE,,,
66,$ATif,,$.T.f,BACKOFF-1,1A2i3,1470,$ATi#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاطِف,,QC-DONE,,,
67,$ATiH,,$.T.H,BACKOFF-1,1A2i3,1470,$ATi#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاطِح,,QC-DONE,,,
68,$Atil,,$.t.l,BACKOFF-1,1A2i3,1470,$Ati#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاتِل,,QC-DONE,,,
69,baqiy,,b.q.y,BACKOFF-1,1a2i3,1470,baqi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,remaining;remainder;residuum;everlasting_one;baqi;leftover;the_remainder;difference,ACTPART,OK,3,بَقِي,,QC-DONE,,,
70,$Atim,,$.t.m,BACKOFF-1,1A2i3,1470,$Ati#m,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاتِم,,QC-DONE,,,
71,$ATir,,$.T.r,LOOKUP_DIAC-1,1A2i3,1470,$ATi#r,,adj,,,,,MS||MD||MP||FS,clever;smart;cute,OK,OK,1,شاطِر,شاطِر,QC-DONE,,,
72,$Atit,,$.t.t,BACKOFF-1,1A2i3,1470,$Ati#t,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,2,شاتِت,,QC-DONE,,,
73,$ATiT,,$.T.T,BACKOFF-1,1A2i3,1470,$ATi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,2,شاطِط,,QC-DONE,,,
74,$Awiy,,$.w.y,BACKOFF-1,1A2i3,1470,$Awi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,شاوِي,,DONE,,,final iy should br removed and # remain
75,$Axib,,$.x.b,BACKOFF-1,1A2i3,1470,$Axi#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاخِب,,QC-DONE,,,
76,$Axir,,$.x.r,BACKOFF-1,1A2i3,1470,$Axi#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاخِر,,QC-DONE,,,
77,$AxiS,,$.x.S,LOOKUP_DIAC-1,1A2i3,1470,$AxiS,,noun,,,,,MS||MD||MP||FS||FD||FP,fixed;looming;pole,OK,OK,1,شاخِص,شاخِص,QC-DONE,,,
78,$Axix,,$.x.x,BACKOFF-1,1A2i3,1470,$Axi#x,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاخِخ,,QC-DONE,,,
79,$Ayib,,$.y.b,BACKOFF-1,1A2i3,1470,$Ayi#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,gray-haired;old;old_man,OK,OK,1,شايِب,,QC-DONE,,,
80,$AyiE,,$.y.E,BACKOFF-1,1A2i3,1470,$Ayi#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,widespread;well-known;mass;throng;public;popular;liked;well-spread,OK,OK,1,شايِع,,QC-DONE,,,
81,$Ayif,,$.y.f,BACKOFF-1,1A2i3,1470,$Ayi#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,i_see;viewer;observer;onlooker;seeing;see;looking;onloker,OK,OK,1,شايِف,,QC-DONE,,,
82,$Ayik,,$.y.k,BACKOFF-1,1A2i3,1470,$Ayi#k,,adj,,,,,MS||MD||MP||FS||FD||FP,barbed,CHECK,OK,1,شايِك,,DONE,,,
83,$Ayil,,$.y.l,BACKOFF-1,1A2i3,1470,$Ayi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,شايِل,,DONE,,,
84,$Ayin,,$.y.n,BACKOFF-1,1A2i3,1470,$Ayi#n,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,disgraceful;outrageous,ACTPART,OK,1,شايِن,,DONE,,,
85,$Ayir,,$.y.r,BACKOFF-1,1A2i3,1470,$Ayi#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,indicative;indicating;pointing_out;field_marshal;general;marshal,OK,OK,1,شايِر,,QC-DONE,,,
86,$AyiT,,$.y.T,BACKOFF-1,1A2i3,1470,$Ayi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شايِط,,QC-DONE,,,
87,$Ayix,,$.y.x,BACKOFF-1,1A2i3,1470,$Ayi#x,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شايِخ,,QC-DONE,,,
88,bA*il,,b.*.l,LOOKUP_DIAC-1,1A2i3,1470,bA*i#l,,adj/noun,,,,#w',MS||MD||MP||FS||FD||FP,spending;spender,OK,OK,1,باذِل,باذِل,CHECK,,,
89,bA$i$,,b.$.$,BACKOFF-1,1A2i3,1470,bA$i#$,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باشِش,,QC-DONE,,,
90,bA$im,,b.$.m,BACKOFF-1,1A2i3,1470,bA$i#m,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باشِم,,QC-DONE,,,
91,bAdiE,,b.d.E,BACKOFF-1,1A2i3,1470,bAdi#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بادِع,,CHECK,,,
92,bAdil,,b.d.l,BACKOFF-1,1A2i3,1470,bAdi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بادِل,,CHECK,,,
93,bAdiy,,b.d.y,LOOKUP_DIAC-1,1A2i3,1470,bAdi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,apparent;obvious,ACTPART,OK,1,بادِي,بادِي,QC-DONE,,,final iy should br removed and # remain
94,bAEid,,b.E.d,BACKOFF-1,1A2i3,1470,bAEi#d,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باعِد,,QC-DONE,,,
95,bAEij,,b.E.j,BACKOFF-1,1A2i3,1470,bAEi#j,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باعِج,,QC-DONE,,,
96,bAEit,,b.E.t,BACKOFF-1,1A2i3,1470,bAEi#t,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,sender;incentive;motive;incentives;motives;sending;provider,ACTPART,OK,1,باعِت,,QC-DONE,,,
97,bAHiH,,b.H.H,BACKOFF-1,1A2i3,1470,bAHi#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باحِح,,CHECK,,,
98,bAhil,,b.h.l,LOOKUP_DIAC-1,1A2i3,1470,bAhi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,free;independent;TBA,ACTPART,OK,1,باهِل,باهِل,QC-DONE,,,
99,bAhir,,b.h.r,LOOKUP_DIAC-1,1A2i3,1470,bAhi#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,dazzling;splendid;first_class;luxurious;grand;proud;vainglorious;fine,OK,OK,1,باهِر,باهِر,QC-DONE,,,
100,bAhit,,b.h.t,LOOKUP_DIAC-1,1A2i3,1470,bAhi#t,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,pale;astonished;startled;mangy;scabby;faded;drab;of_color,OK,OK,1,باهِت,باهِت,QC-DONE,,,
101,bAhiZ,,b.h.Z,LOOKUP_DIAC-1,1A2i3,1470,bAhi#Z,,noun,,,,,MS||MD||MP||FS||FD||FP,oppressive;exorbitant,ACTPART,OK,1,باهِظ,باهِظ,QC-DONE,,,
102,bAjiH,,b.j.H,BACKOFF-1,1A2i3,1470,bAji#H,,noun,,,,,MS||MD||MP||FS||FD||FP,insolent;impertinent;impudent,ACTPART,OK,1,باجِح,,CHECK,,,
103,bAkik,,b.k.k,BACKOFF-1,1A2i3,1470,bAki#k,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,باكِك,,QC-DONE,,,
104,bAkim,,b.k.m,BACKOFF-1,1A2i3,1470,bAki#m,,noun,,,,,MS||MD||MP||FS||FD||FP,hydraulic_fluid,ACTPART,OK,1,باكِم,,QC-DONE,,,
105,bAkir,,b.k.r,LOOKUP_DIAC-1,1A2i3,1470,bAki#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,early;tomorrow;sometime_in_the_future,OK,OK,1,باكِر,باكِر,QC-DONE,,,
106,bAkiy,,b.k.y,LOOKUP_DIAC-1,1A2i3,1470,bAki#y,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,mourner;weeping;mourners;weepers,ACTPART,OK,1,باكِي,باكِي,QC-DONE,,,
107,dasim,,d.s.m,LOOKUP_DIAC-1,1a2i3,1470,dasim,,adj,,,,,MS||MD||MP||FS||FD||FP,fat;greasy;meaty,ACTPART,OK,1,دَسِم,"دَسَم, دَسِم",QC-DONE,,,
108,bAliE,,b.l.E,BACKOFF-1,1A2i3,1470,bAli#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بالِع,,QC-DONE,,,
109,bAlif,,b.l.f,BACKOFF-1,1A2i3,1470,bAli#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بالِف,,QC-DONE,,,
110,bAlig,,b.l.g,LOOKUP_DIAC-1,1A2i3,1470,bAli#g,,noun,,,,,MS||MD||MP||FS||FD||FP,extreme;profound;serious;critical;reaching;attaining;adult,ACTPART,OK,1,بالِغ,بالِغ,QC-DONE,,,
111,bAliS,,b.l.S,BACKOFF-1,1A2i3,1470,bAli#S,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بالِص,,QC-DONE,,,
112,bAniy,,b.n.y,LOOKUP_DIAC-1,1A2i3,1470,bAni#y,,noun,,,,,MS||MD||MP||FS||FD||FP,building;builder;builders,ACTPART,OK,1,بانِي,بانِي,QC-DONE,,,
113,bAqiq,,b.q.q,BACKOFF-1,1A2i3,1470,bAqi#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باقِق,,QC-DONE,,,
114,bAqiy,,b.q.y,LOOKUP_DIAC-1,1A2i3,1470,bAqi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,remaining;remainder,ACTPART,OK,3,باقِي,باقِي,DONE,,,final iy should br removed and # remain
115,Easir,,E.s.r,LOOKUP_DIAC-1,1a2i3,1470,Easir,,adj,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,عِسِر,"عَسِر, عُسر",QC-DONE,,,
116,bAqiy,,b.q.y,LOOKUP_DIAC-1,1A2i3,1470,bAqi#y,,noun,,,,,MS||MD||MP||FS||FD||FP,remaining;remainder;residuum;everlasting_one,ACTPART,OK,3,باق,,QC-DONE,,,
117,bAri$,,b.r.$,BACKOFF-1,1A2i3,1470,bAri#$,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بارِش,,QC-DONE,,,
118,bArid,,b.r.d,LOOKUP_DIAC-1,1A2i3,1470,bAri#d,,noun,,,,,MS||MD||MP||FS||FD||FP,cold;frigid,ACTPART,OK,1,بارِد,بارِد,QC-DONE,,,
119,bAriE,,b.r.E,LOOKUP_DIAC-1,1A2i3,1470,bAri#E,,adj/noun,,,,#a>,MS||MD||MP||FS||FD||FP,skilled;proficient;sly;cunning;sharp_witted;crafty;intelligent;smart,OK,OK,1,بارِع,بارِع,QC-DONE,,,
120,bAriH,,b.r.H,LOOKUP_DIAC-1,1A2i3,1470,bAri#H,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,ominous;departing,ACTPART,OK,1,بارِح,بارِح,CHECK,,,
121,bArim,,b.r.m,BACKOFF-1,1A2i3,1470,bAri#m,,adj/noun,,,,ACTPART,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,بارِم,,QC-DONE,,,
122,bAriq,,b.r.q,LOOKUP_DIAC-1,1A2i3,1470,bAri#q,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,glimpse;glitter;gleam;twinkle;polished,OK,OK,1,بارِق,بارِق,QC-DONE,,,
123,bArir,,b.r.r,BACKOFF-1,1A2i3,1470,bAri#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بارِر,,CHECK,,,
124,bAriT,,b.r.T,BACKOFF-1,1A2i3,1470,bAri#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,بارِط,,QC-DONE,,,
125,bAriz,,b.r.z,LOOKUP_DIAC-1,1A2i3,1470,bAri#z,,noun,,,,,MS||MD||MP||FS||FD||FP,prominent;distinct,ACTPART,OK,1,بارِز,بارِز,QC-DONE,,,
126,bAsil,,b.s.l,LOOKUP_DIAC-1,1A2i3,1470,bAsi#l,,noun,,,,,MS||MD||MP||FS||FD||FP,fearless;brave;intrepid,ACTPART,OK,1,باسِل,باسِل,QC-DONE,,,
127,bASim,,b.S.m,BACKOFF-1,1A2i3,1470,bASi#m,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,باصِم,,QC-DONE,,,
