LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
11	OK-ZERO-E0-DEFINITE	0	NOM.MS.DG.P0.E0	Ealiy~			6532			None	[Ealiy~]			[-]	[MS]					FSE0 PS0 PP0	0
12	OK-ZERO-E0-DEFINITE	0	NOM.MS.DA.P0.E0	Ealiy~			6532			None	[Ealiy~]			[-]	[MS]					FSE0 PS0 PP0	1
13	OK-ONE	1	NOM.MS.CN.E0	Ealiy~	عَلِيُّهُ	Ealiy~uhu	6532			None	[Ealiy~]	Ealiy~/ADJ+u/CASE_DEF_NOM+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:MS+POSS_PRON+enc0+u-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#^ay+#^i+#^iy+#^i||#^ay||#^iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:s cas:n enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	0
14	OK-ONE	1	NOM.MS.CG.E0	Ealiy~	عَلِيِّهِ	Ealiy~ihi	6532			None	[Ealiy~]	Ealiy~/ADJ+i/CASE_DEF_GEN+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:#^i+MS+POSS_PRON+enc0+i-suff]_[CT:#^i||#^ay||#^iy]_[CF:!#^i+#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#iy||#A}iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:s cas:g enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	1
15	OK-ONE	1	NOM.MS.CA.E0	Ealiy~	عَلِيَّهُ	Ealiy~ahu	6532			None	[Ealiy~]	Ealiy~/ADJ+a/CASE_DEF_ACC+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:MS+POSS_PRON+a-suff+enc0]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#^ay+#^i+#^iy+#^i||#^ay||#^iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:s cas:a enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	0
16	OK-ONE	1	NOM.MD.DN.P0	Eal~Am	العَلّامانِ	AlEal~AmAni	6495			None	[Eal~Am]	Al/DET+Eal~Am/ADJ+Ani/NSUFF_MASC_DU_NOM	expert	[-]	[MD]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:A-suff+MD]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:n enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0	1
17	OK-ONE	1	NOM.MD.DG.P0	Eal~Am	العَلّامَيْنِ	AlEal~Amayoni	6495			None	[Eal~Am]	Al/DET+Eal~Am/ADJ+ayoni/NSUFF_MASC_DU_GEN	expert	[-]	[MD]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:MD+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:g enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0	0
18	OK-ONE	1	NOM.MD.DA.P0	Eal~Am	العَلّامَيْنِ	AlEal~Amayoni	6495			None	[Eal~Am]	Al/DET+Eal~Am/ADJ+ayoni/NSUFF_MASC_DU_ACC	expert	[-]	[MD]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:MD+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:a enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0	1
19	OK-ONE	1	NOM.MD.IN	Eal~Am	عَلّامانِ	Eal~AmAni	6495			None	[Eal~Am]	Eal~Am/ADJ+Ani/NSUFF_MASC_DU_NOM	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:A-suff+MD]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	0
20	OK-ONE	1	NOM.MD.IG	Eal~Am	عَلّامَيْنِ	Eal~Amayoni	6495			None	[Eal~Am]	Eal~Am/ADJ+ayoni/NSUFF_MASC_DU_GEN	expert	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IG]_[CS:MD+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	1
21	OK-ONE	1	NOM.MD.IA	Eal~Am	عَلّامَيْنِ	Eal~Amayoni	6495			None	[Eal~Am]	Eal~Am/ADJ+ayoni/NSUFF_MASC_DU_ACC	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IA]_[CS:MD+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	0
22	OK-ONE	1	NOM.MD.CN	Eal~Am	عَلّاما	Eal~AmA	6495			None	[Eal~Am]	Eal~Am/ADJ+A/NSUFF_MASC_DU_NOM_POSS	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:#^A+MD]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	1
23	OK-ONE	1	NOM.MD.CG	Eal~Am	عَلّامَيْ	Eal~Amayo	6495			None	[Eal~Am]	Eal~Am/ADJ+ayo/NSUFF_MASC_DU_GEN_POSS	expert	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:#^ay+MD]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:d cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	0
24	OK-ONE	1	NOM.MD.CA	Eal~Am	عَلّامَيْ	Eal~Amayo	6495			None	[Eal~Am]	Eal~Am/ADJ+ayo/NSUFF_MASC_DU_ACC_POSS	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:#^ay+MD]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:d cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	1
25	OK-ZERO-E0-DEFINITE	0	NOM.MD.DN.P0.E0	Eal~Am			6495			None	[Eal~Am]			[-]	[MD]					XPos0 FSE0 PS0 PP0	0
26	OK-ZERO-E0-DEFINITE	0	NOM.MD.DG.P0.E0	Eal~Am			6495			None	[Eal~Am]			[-]	[MD]					XPos0 FSE0 PS0 PP0	1
27	OK-ZERO-E0-DEFINITE	0	NOM.MD.DA.P0.E0	Eal~Am			6495			None	[Eal~Am]			[-]	[MD]					XPos0 FSE0 PS0 PP0	0
28	OK-ONE	1	NOM.MD.CN.E0	Eal~Am	عَلّاماهُ	Eal~AmAhu	6495			None	[Eal~Am]	Eal~Am/ADJ+A/NSUFF_MASC_DU_NOM_POSS+hu/POSS_PRON_3MS	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:#^A+MD+POSS_PRON+enc0]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#^ay+#^i+#^iy+#^i||#^ay||#^iy+#a>+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:d cas:n enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	1
29	OK-ONE	1	NOM.MD.CG.E0	Eal~Am	عَلّامَيْهِ	Eal~Amayohi	6495			None	[Eal~Am]	Eal~Am/ADJ+ayo/NSUFF_MASC_DU_GEN_POSS+hu/POSS_PRON_3MS	expert	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:#^ay+MD+POSS_PRON+enc0]_[CT:#^i||#^ay||#^iy]_[CF:!#^i+#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:d cas:g enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	0
30	OK-ONE	1	NOM.MD.CA.E0	Eal~Am	عَلّامَيْهِ	Eal~Amayohi	6495			None	[Eal~Am]	Eal~Am/ADJ+ayo/NSUFF_MASC_DU_ACC_POSS+hu/POSS_PRON_3MS	expert	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:#^ay+MD+POSS_PRON+enc0]_[CT:#^i||#^ay||#^iy]_[CF:!#^i+#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:d cas:a enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 XPos0 PP0 FSE0	1
31	OK-ONE	1	NOM.MP.DN.P0	Ealiy~	العَلِيُّونَ	AlEaliy~uwna	6476			None	[Ealiy~]	Al/DET+Ealiy~/ADJ+uwna/NSUFF_MASC_PL_NOM	supreme;high	[-]	[MP]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:MP+w-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:n enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0	0
32	OK-ONE	1	NOM.MP.DG.P0	Ealiy~	العَلِيِّينَ	AlEaliy~iyna	6476			None	[Ealiy~]	Al/DET+Ealiy~/ADJ+iyna/NSUFF_MASC_PL_GEN	supreme;high	[-]	[MP]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:g enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0	1
33	OK-ONE	1	NOM.MP.DA.P0	Ealiy~	العَلِيِّينَ	AlEaliy~iyna	6476			None	[Ealiy~]	Al/DET+Ealiy~/ADJ+iyna/NSUFF_MASC_PL_ACC	supreme;high	[-]	[MP]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:li/PREP+li/PREP]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:a enc0:0 prc0:Al_det prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0	0
34	OK-ONE	1	NOM.MP.IN	Ealiy~	عَلِيُّونَ	Ealiy~uwna	6476			None	[Ealiy~]	Ealiy~/ADJ+uwna/NSUFF_MASC_PL_NOM	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:MP+w-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	1
35	OK-ONE	1	NOM.MP.IG	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6476			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_GEN	supreme;high	[-]	[MP]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IG]_[CS:MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	0
36	OK-ONE	1	NOM.MP.IA	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6476			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_ACC	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IA]_[CS:MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	1
37	OK-ONE	1	NOM.MP.CN	Ealiy~	عَلِيُّو	Ealiy~uw	6476			None	[Ealiy~]	Ealiy~/ADJ+uw/NSUFF_MASC_PL_NOM_POSS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:MP+w-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w'+POSS_PRON-iy+POSS_PRON-iy]	pos:adj gen:m num:p cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	0
38	OK-ONE	1	NOM.MP.CG	Ealiy~	عَلِيِّي	Ealiy~iy	6476			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_GEN_POSS	supreme;high	[-]	[MP]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:#^iy+MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	1
39	OK-ONE	1	NOM.MP.CA	Ealiy~	عَلِيِّي	Ealiy~iy	6476			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_ACC_POSS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:#^iy+MP+y-suff]_[CT:-]_[CF:#A'+#A'-w+#A'@w+#A}iy+#a>+#aA+#aA-Ap-w+#aY-Ap-y+#aY-Ap-y||#aA-Ap-w+#iy+#o'-con+#o'-dis+#u&+#w']	pos:adj gen:m num:p cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	M0 OK PS0 PP0 FSE0	0
