LINE	STATUS	COUNT	SIGNATURE	LEMMA	DIAC_AR	DIAC	FREQ	QC	COMMENTS	PATTERN	STEM	BW	GLOSS	COND-S	COND-T	PREF-CAT	STEM-CAT	SUFF-CAT	FEATS	DEBUG	COLOR
11	OK-ZERO-E0-DEFINITE	0	NOM.MS.DG.E0	Ealiy~			6535			None	[Ealiy~]			[-]	[MS]					FSE0 M0 PS0	0
12	OK-ZERO-E0-DEFINITE	0	NOM.MS.DA.E0	Ealiy~			6535			None	[Ealiy~]			[-]	[MS]					FSE0 M0 PS0	1
13	OK-ONE	1	NOM.MS.CN.E0	Ealiy~	عَلِيُّهُ	Ealiy~uhu	6535			None	[Ealiy~]	Ealiy~/ADJ+u/CASE_DEF_NOM+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:C:POSS_PRON+MS+u-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy||#A}iy+C:POSSPRON-iy+C:POSS_PRON-iy+C:ay#+C:i#+C:i#||C:ay#||C:iy#+C:iy#]	pos:adj gen:m num:s cas:n enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
14	OK-ONE	1	NOM.MS.CG.E0	Ealiy~	عَلِيِّهِ	Ealiy~ihi	6535			None	[Ealiy~]	Ealiy~/ADJ+i/CASE_DEF_GEN+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:POSS_PRON+C:i#+MS+i-suff]_[CT:C:i#||C:ay#||C:iy#]_[CF:!C:i#+#aY-Ap-y||#aA-Ap-w||#aA||Mono+#iy||#A}iy+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:s cas:g enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
15	OK-ONE	1	NOM.MS.CA.E0	Ealiy~	عَلِيَّهُ	Ealiy~ahu	6535			None	[Ealiy~]	Ealiy~/ADJ+a/CASE_DEF_ACC+hu/POSS_PRON_3MS	supreme;high	[-]	[MS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:C:POSS_PRON+MS+a-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w||#aA||Mono+C:POSSPRON-iy+C:POSS_PRON-iy+C:ay#+C:i#+C:i#||C:ay#||C:iy#+C:iy#]	pos:adj gen:m num:s cas:a enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
16	OK-ONE	1	NOM.MD.DN	Ealiy~	عَلِيّانِ	Ealiy~Ani	6498			None	[Ealiy~]	Ealiy~/ADJ+Ani/NSUFF_MASC_DU_NOM	supreme;high	[-]	[MD]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:MD]_[CT:-]_[CF:#a>]	pos:adj gen:m num:d cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
17	OK-ONE	1	NOM.MD.DG	Ealiy~	عَلِيَّيْنِ	Ealiy~ayoni	6498			None	[Ealiy~]	Ealiy~/ADJ+ayoni/NSUFF_MASC_DU_GEN	supreme;high	[-]	[MD]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:MD]_[CT:-]_[CF:-]	pos:adj gen:m num:d cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
18	OK-ONE	1	NOM.MD.DA	Ealiy~	عَلِيَّيْنِ	Ealiy~ayoni	6498			None	[Ealiy~]	Ealiy~/ADJ+ayoni/NSUFF_MASC_DU_ACC	supreme;high	[-]	[MD]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:MD]_[CT:-]_[CF:-]	pos:adj gen:m num:d cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
19	OK-ONE	1	NOM.MD.IN	Ealiy~	عَلِيّانِ	Ealiy~Ani	6498			None	[Ealiy~]	Ealiy~/ADJ+Ani/NSUFF_MASC_DU_NOM	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:MD]_[CT:-]_[CF:#a>]	pos:adj gen:m num:d cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
20	OK-ONE	1	NOM.MD.IG	Ealiy~	عَلِيَّيْنِ	Ealiy~ayoni	6498			None	[Ealiy~]	Ealiy~/ADJ+ayoni/NSUFF_MASC_DU_GEN	supreme;high	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IG]_[CS:MD]_[CT:-]_[CF:-]	pos:adj gen:m num:d cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
21	OK-ONE	1	NOM.MD.IA	Ealiy~	عَلِيَّيْنِ	Ealiy~ayoni	6498			None	[Ealiy~]	Ealiy~/ADJ+ayoni/NSUFF_MASC_DU_ACC	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IA]_[CS:MD]_[CT:-]_[CF:-]	pos:adj gen:m num:d cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
22	OK-ONE	1	NOM.MD.CN	Ealiy~	عَلِيّا	Ealiy~A	6498			None	[Ealiy~]	Ealiy~/ADJ+A/NSUFF_MASC_DU_NOM_POSS	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:C:A#+MD]_[CT:-]_[CF:#a>]	pos:adj gen:m num:d cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
23	OK-ONE	1	NOM.MD.CG	Ealiy~	عَلِيَّيْ	Ealiy~ayo	6498			None	[Ealiy~]	Ealiy~/ADJ+ayo/NSUFF_MASC_DU_GEN_POSS	supreme;high	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:ay#+MD]_[CT:-]_[CF:C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:d cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
24	OK-ONE	1	NOM.MD.CA	Ealiy~	عَلِيَّيْ	Ealiy~ayo	6498			None	[Ealiy~]	Ealiy~/ADJ+ayo/NSUFF_MASC_DU_ACC_POSS	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:C:ay#+MD]_[CT:-]_[CF:C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:d cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
25	OK-ZERO-E0-DEFINITE	0	NOM.MD.DN.E0	Ealiy~			6498			None	[Ealiy~]			[-]	[MD]					FSE0 M0 PS0	0
26	OK-ZERO-E0-DEFINITE	0	NOM.MD.DG.E0	Ealiy~			6498			None	[Ealiy~]			[-]	[MD]					FSE0 M0 PS0	1
27	OK-ZERO-E0-DEFINITE	0	NOM.MD.DA.E0	Ealiy~			6498			None	[Ealiy~]			[-]	[MD]					FSE0 M0 PS0	0
28	OK-ONE	1	NOM.MD.CN.E0	Ealiy~	عَلِيّاهُ	Ealiy~Ahu	6498			None	[Ealiy~]	Ealiy~/ADJ+A/NSUFF_MASC_DU_NOM_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:C:A#+C:POSS_PRON+MD]_[CT:-]_[CF:#a>+C:ay#+C:i#+C:i#||C:ay#||C:iy#+C:iy#]	pos:adj gen:m num:d cas:n enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
29	OK-ONE	1	NOM.MD.CG.E0	Ealiy~	عَلِيَّيْهِ	Ealiy~ayohi	6498			None	[Ealiy~]	Ealiy~/ADJ+ayo/NSUFF_MASC_DU_GEN_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MD]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:POSS_PRON+C:ay#+MD]_[CT:C:i#||C:ay#||C:iy#]_[CF:!C:i#+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:d cas:g enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
30	OK-ONE	1	NOM.MD.CA.E0	Ealiy~	عَلِيَّيْهِ	Ealiy~ayohi	6498			None	[Ealiy~]	Ealiy~/ADJ+ayo/NSUFF_MASC_DU_ACC_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MD]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:C:POSS_PRON+C:ay#+MD]_[CT:C:i#||C:ay#||C:iy#]_[CF:!C:i#+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:d cas:a enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
31	OK-ONE	1	NOM.MP.DN	Ealiy~	عَلِيُّونَ	Ealiy~uwna	6479			None	[Ealiy~]	Ealiy~/ADJ+uwna/NSUFF_MASC_PL_NOM	supreme;high	[-]	[MP]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:MP+w-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
32	OK-ONE	1	NOM.MP.DG	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6479			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_GEN	supreme;high	[-]	[MP]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
33	OK-ONE	1	NOM.MP.DA	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6479			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_ACC	supreme;high	[-]	[MP]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
34	OK-ONE	1	NOM.MP.IN	Ealiy~	عَلِيُّونَ	Ealiy~uwna	6479			None	[Ealiy~]	Ealiy~/ADJ+uwna/NSUFF_MASC_PL_NOM	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:MP+w-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
35	OK-ONE	1	NOM.MP.IG	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6479			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_GEN	supreme;high	[-]	[MP]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IG]_[CS:MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
36	OK-ONE	1	NOM.MP.IA	Ealiy~	عَلِيِّينَ	Ealiy~iyna	6479			None	[Ealiy~]	Ealiy~/ADJ+iyna/NSUFF_MASC_PL_ACC	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IA]_[CS:MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
37	OK-ONE	1	NOM.MP.CN	Ealiy~	عَلِيُّو	Ealiy~uw	6479			None	[Ealiy~]	Ealiy~/ADJ+uw/NSUFF_MASC_PL_NOM_POSS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:MP+w-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w+C:POSSPRON-iy+C:POSS_PRON-iy]	pos:adj gen:m num:p cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
38	OK-ONE	1	NOM.MP.CG	Ealiy~	عَلِيِّي	Ealiy~iy	6479			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_GEN_POSS	supreme;high	[-]	[MP]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:iy#+MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
39	OK-ONE	1	NOM.MP.CA	Ealiy~	عَلِيِّي	Ealiy~iy	6479			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_ACC_POSS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:C:iy#+MP+y-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
40	OK-ZERO-E0-DEFINITE	0	NOM.MP.DN.E0	Ealiy~			6479			None	[Ealiy~]			[-]	[MP]					FSE0 M0 PS0	1
41	OK-ZERO-E0-DEFINITE	0	NOM.MP.DG.E0	Ealiy~			6479			None	[Ealiy~]			[-]	[MP]					FSE0 M0 PS0	0
42	OK-ZERO-E0-DEFINITE	0	NOM.MP.DA.E0	Ealiy~			6479			None	[Ealiy~]			[-]	[MP]					FSE0 M0 PS0	1
43	OK-ONE	1	NOM.MP.CN.E0	Ealiy~	عَلِيُّوهُ	Ealiy~uwhu	6479			None	[Ealiy~]	Ealiy~/ADJ+uw/NSUFF_MASC_PL_NOM_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CN.Pron]_[CS:C:POSS_PRON+MP+w-suff]_[CT:-]_[CF:#aY-Ap-y||#aA-Ap-w+C:POSSPRON-iy+C:POSS_PRON-iy+C:ay#+C:i#+C:i#||C:ay#||C:iy#+C:iy#]	pos:adj gen:m num:p cas:n enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
44	OK-ONE	1	NOM.MP.CG.E0	Ealiy~	عَلِيِّيهِ	Ealiy~iyhi	6479			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_GEN_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MP]	P:[Nom.Pr]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CG.Pron]_[CS:C:POSS_PRON+C:iy#+MP+y-suff]_[CT:C:i#||C:ay#||C:iy#]_[CF:!C:i#+#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:g enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
45	OK-ONE	1	NOM.MP.CA.E0	Ealiy~	عَلِيِّيهِ	Ealiy~iyhi	6479			None	[Ealiy~]	Ealiy~/ADJ+iy/NSUFF_MASC_PL_ACC_POSS+hu/POSS_PRON_3MS	supreme;high	[-]	[MP]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[CA.Pron]_[CS:C:POSS_PRON+C:iy#+MP+y-suff]_[CT:C:i#||C:ay#||C:iy#]_[CF:!C:i#+#aY-Ap-y||#aA-Ap-w]	pos:adj gen:m num:p cas:a enc0:3ms_poss prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
46	OK-ONE	1	NOM.FS.DN	Ealiy~	عَلِيَّةُ	Ealiy~apu	6493			None	[Ealiy~]	Ealiy~/ADJ+ap/NSUFF_FEM_SG+u/CASE_DEF_NOM	supreme;high	[-]	[FS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DN]_[CS:FS]_[CT:-]_[CF:-]	pos:adj gen:f num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
47	OK-ONE	1	NOM.FS.DG	Ealiy~	عَلِيَّةِ	Ealiy~api	6493			None	[Ealiy~]	Ealiy~/ADJ+ap/NSUFF_FEM_SG+i/CASE_DEF_GEN	supreme;high	[-]	[FS]	P:[Nom.Pr.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DG]_[CS:FS]_[CT:-]_[CF:X100]	pos:adj gen:f num:s cas:g enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
48	OK-ONE	1	NOM.FS.DA	Ealiy~	عَلِيَّةَ	Ealiy~apa	6493			None	[Ealiy~]	Ealiy~/ADJ+ap/NSUFF_FEM_SG+a/CASE_DEF_ACC	supreme;high	[-]	[FS]	P:[Nom.Art]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[DA]_[CS:FS]_[CT:-]_[CF:-]	pos:adj gen:f num:s cas:a enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	1
49	OK-ONE	1	NOM.FS.IN	Ealiy~	عَلِيَّةٌ	Ealiy~apN	6493			None	[Ealiy~]	Ealiy~/ADJ+ap/NSUFF_FEM_SG+N/CASE_INDEF_NOM	supreme;high	[-]	[FS]	P:[Nom]_[CS:-]_[CT:-]_[CF:-]	X:[Nom]_[CS:-]_[CT:MS||MD||MP||FS||FD||FP]_[CF:-]	S:[IN]_[CS:FS]_[CT:-]_[CF:@dip]	pos:adj gen:f num:s cas:n enc0:0 prc0:0 prc1:0 prc2:0 prc3:0	FSE0 M0 OK PS0	0
