,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
64,2.313,MORPH,[PVSuff],PVSuff.3P,awA,awA/PVSUFF_SUBJ:3P,GLF,they,asp:p per:3 gen:u num:p,else,v-suff w-suff,awA,كتبوا,DONE,
65,2.3131,MORPH,[PVSuff],PVSuff.3P,aw,awA/PVSUFF_SUBJ:3P,GLF,they,asp:p per:3 gen:u num:p,enc0,v-suff w-suff,awA,كتبوها,DONE,
66,2.321,MORPH,[PVSuff],PVSuff.3FP,an,an/PVSUFF_SUBJ:3FP,GLF,she_[fem.pl.],asp:p per:3 gen:f num:p,,v-suff,an,كتبن,DONE,
67,3.1,#,Imperfect verb prefixes,,,,,,,,,,,,
68,3.131,MORPH,[IVPref.1S],IVPref.1S,Aa,Aa/IV1S,GLF,I,asp:i per:1 gen:u num:s,else,h-pref,,اكتب,DONE,
69,3.1311,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,GLF,I,asp:i per:1 gen:u num:s,yA#,h-pref,,آكل,DONE,
70,3.133,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,GLF,we,asp:i per:1 gen:u num:p,!enc0:1*,,,نكتب,DONE,
71,3.211,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,GLF,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,,,تكتب,DONE,
72,3.211,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,GLF,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,,,تكتبين,DONE,
73,3.213,MORPH,[IVPref.2P],IVPref.2P,t,t/IV2P,GLF,you_[pl.],asp:i per:2 gen:u num:p,!enc0:2*,,,تكتب,DONE,
74,3.213,MORPH,[IVPref.2FP],IVPref.2FP,t,t/IV2FP,GLF,you_[fem.pl.],asp:i per:2 gen:f num:p,!enc0:2*,,,تكتبن,DONE,
75,3.311,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,GLF,he_[masc.sg.],asp:i per:3 gen:m num:s,,,,يكتب,DONE,
76,3.313,MORPH,[IVPref.3P],IVPref.3P,y,y/IV3P,GLF,they,asp:i per:3 gen:u num:p,,,,يكتبون,,
77,3.321,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,GLF,she_[fem.sg.],asp:i per:3 gen:f num:s,,,,تكتب,,
78,3.313,MORPH,[IVPref.3FP],IVPref.3FP,y,y/IV3FP,GLF,they_[fem.],asp:i per:3 gen:f num:p,,,,يكتبن,,
79,3.4,#,Imperfect verb pre-stem buffer,,,,,,,,,,,,
80,3.41,MORPH,[IVPreBuff],Buffer#h-pref,_,,GLF,,,h-pref,,,آكل,DONE,
81,3.41,MORPH,[IVPreBuff],Buffer#y#,_,,GLF,,,y# !h-pref,,,يزَكِّي,DONE>> yi-#,
82,3.42,MORPH,[IVPreBuff],Buffer#yi#,i,i/STEM,GLF,,,yi# !h-pref,,,ياكل,DONE,
83,3.43,MORPH,[IVPreBuff],Buffer#yA#,A,A/STEM,GLF,,,yA# !h-pref,,,,DONE,
84,3.44,MORPH,[IVPreBuff],Buffer#ya#,a,a/STEM,GLF,,,ya# !h-pref,,,,DONE,
85,,,,,,,,,,,,,,,
86,3.5,#,Imperfect verb post-stem buffer,,,,,,,,,,,,
87,3.501,MORPH,[IVBuff],Buffer#-aA,_,_,GLF,,,#-aA w-suff||y-suff,,_,تقري تقروا,DONE,
88,3.503,MORPH,[IVBuff],Buffer#-aA,A,A/STEM,GLF,,,#-aA z-suff else,,A,تقرا نقرا,DONE,
89,3.505,MORPH,[IVBuff],Buffer#-aY,_,_,GLF,,,#-aY w-suff||y-suff,,_,تنسوا تنسي,DONE,
90,3.507,MORPH,[IVBuff],Buffer#-aY,aY,aY/STEM,GLF,,,#-aY z-suff !enc0,,aY,تنسى,DONE,
91,3.508,MORPH,[IVBuff],Buffer#-aY,A,aY/STEM,GLF,,,#-aY z-suff enc0,,A,تنساه,DONE,
92,3.509,MORPH,[IVBuff],Buffer#-uw,uw,uw/STEM,GLF,,,#-uw else,,uw,ارجو,DONE,
93,3.511,MORPH,[IVBuff],Buffer#-uw,_,_,GLF,,,#-uw w-suff||y-suff,,_,يرجوا ترجي,DONE,
94,3.512,MORPH,[IVBuff],Buffer#-iy,iy,iy/STEM,GLF,,,#-iy else,,iy,ترمي,DONE,
95,3.514,MORPH,[IVBuff],Buffer#-iy,_,_,GLF,,,#-iy w-suff||y-suff,,_,ترموا ترمي,DONE,
96,3.518,MORPH,[IVBuff],Buffer#-a>,a>,a>/STEM,GLF,,,#-a> else,,a>,تجزأَ,DONE,
97,3.521,MORPH,[IVBuff],Buffer#-a>,a&,a&/STEM,GLF,,,#-a> w-suff,,a&,تجزؤوا,DONE,
98,3.522,MORPH,[IVBuff],Buffer#-a>,a},a}/STEM,GLF,,,#-a> y-suff,,a},تجزئي,DONE,
99,3.526,MORPH,[IVBuff],Buffer#-A',A&,A&/STEM,GLF,,,#-A' w-suff,,A&,يشاؤوا,DONE,
100,3.527,MORPH,[IVBuff],Buffer#-A',A},A}/STEM,GLF,,,#-A' y-suff,,A},تشائي,DONE,
101,3.528,MORPH,[IVBuff],Buffer#-A',A',A'/STEM,GLF,,,#-A' else,,A',يشاء,DONE,
102,3.532,MORPH,[IVBuff],Buffer#-uw',uw},uw}/STEM,GLF,,,#-uw' w-suff||y-suff,,uw},تسوئوا تسوئي,DONE,
103,3.533,MORPH,[IVBuff],Buffer#-uw',uw',uw'/STEM,GLF,,,#-uw' z-suff,,uw',نسوء,DONE,
104,3.537,MORPH,[IVBuff],Buffer#-iy',iy},iy}/STEM,GLF,,,#-iy' else,,iy},تسيئوا تسيئي,DONE,
105,3.538,MORPH,[IVBuff],Buffer#-iy',iy',iy'/STEM,GLF,,,#-iy' z-suff else,,iy',نسيء,DONE,
106,3.539,MORPH,[IVBuff],Buffer#-iy',iy},iy}/STEM,GLF,,,#-iy' z-suff enc0,,iy},نسيئها,DONE,
107,,MORPH,[IVBuff],Buffer,_,_,GLF,,,_,_,_,,DONE,
108,3.627,#,Imperfective Verb Suffixes,,,,,,,,,,,,
109,3.643,MORPH,[IVSuff.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P,GLF,[pl.],asp:i per:1 gen:u num:p mod:u,,z-suff n-suff,_,نكتب,DONE,
110,3.645,MORPH,[IVSuff.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S,GLF,[sg.],asp:i per:1 gen:u num:s mod:u,,z-suff n-suff,_,أكتب,DONE,
111,3.652,MORPH,[IVSuff.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS,GLF,[masc.sg.],asp:i per:2 gen:m num:s mod:u,,z-suff n-suff,_,تكتب,DONE,
112,3.632,MORPH,[IVSuff.2FS],IVSuff.2FS,iyn,iyn/IVSUFF_SUBJ:2FS,GLF,[fem.sg.],asp:i per:2 gen:f num:s mod:u,,v-suff y-suff,iyn,تكتبي,DONE,
113,3.633,MORPH,[IVSuff.2P],IVSuff.2P,uwn,uwn/IVSUFF_SUBJ:2P,GLF,[masc.pl.],asp:i per:2 gen:u num:p mod:u,,v-suff w-suff,uwn,تكتبون,DONE,
114,3.641,MORPH,[IVSuff.2FP],IVSuff.2FP,in,in/IVSUFF_SUBJ:2FP,GLF,[fem.pl.],asp:i per:2 gen:f num:p mod:u,,v-suff w-suff ,in,يكتبن,DONE,
115,3.661,MORPH,[IVSuff.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS,GLF,[masc.sg.],asp:i per:3 gen:m num:s mod:u,,z-suff n-suff,_,يكتب,DONE,
116,3.656,MORPH,[IVSuff.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS,GLF,[fem.sg.],asp:i per:3 gen:f num:s mod:u,,z-suff n-suff,_,تكتب,DONE,
117,3.64,MORPH,[IVSuff.3P],IVSuff.3P,uwn,uwn/IVSUFF_SUBJ:3P,GLF,[masc.pl.],asp:i per:3 gen:u num:p mod:u,,v-suff w-suff,uwn,يكتبون,DONE,
118,3.641,MORPH,[IVSuff.3FP],IVSuff.3FP,in,in/IVSUFF_SUBJ:3FP,GLF,[fem.pl.],asp:i per:3 gen:f num:p mod:u,,v-suff w-suff ,in,يكتبن,DONE,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,8.0,#,Command Verb Stem Buffers,,,,,,,,,,,,
122,8.0001,MORPH,[CVBuff],Buffer#-A,_,_,GLF,,,#-aA w-suff||y-suff,,_,اقري اقروا,DONE,
123,8.0002,MORPH,[CVBuff],Buffer#-A,A,A/STEM,GLF,,,#-aA z-suff else,,A,اقرا,DONE,
124,8.0003,MORPH,[CVBuff],Buffer#-aY,_,_,GLF,,,#-aY w-suff||y-suff,,_,انسواانسي,DONE,
125,8.0004,MORPH,[CVBuff],Buffer#-aY,aY,aY/STEM,GLF,,,#-aY z-suff !enc0,,aY,انسى,DONE,
126,8.0005,MORPH,[CVBuff],Buffer#-aY,A,aY/STEM,GLF,,,#-aY z-suff enc0,,A,انساه,DONE,
127,8.0006,MORPH,[CVBuff],Buffer#-uw,uw,uw/STEM,GLF,,,#-uw else,,uw,ارجو,DONE,
128,8.0007,MORPH,[CVBuff],Buffer#-uw,_,_,GLF,,,#-uw w-suff||y-suff,,_,ارجوا ارجي,DONE,
129,8.0008,MORPH,[CVBuff],Buffer#-iy,iy,iy/STEM,GLF,,,#-iy else,,iy,ارمي,DONE,
130,8.0009,MORPH,[CVBuff],Buffer#-iy,_,_,GLF,,,#-iy w-suff||y-suff,,_,ارموا ارمي,DONE,
131,8.001,MORPH,[CVBuff],Buffer#-a>,a>,a>/STEM,GLF,,,#-a> else,,a>,جزأَ,DONE,
132,8.0011,MORPH,[CVBuff],Buffer#-a>,a&,a&/STEM,GLF,,,#-a> w-suff,,a&,جزؤوا,DONE,
133,8.0012,MORPH,[CVBuff],Buffer#-a>,a},a}/STEM,GLF,,,#-a> y-suff,,a},جزئي,DONE,
134,8.0013,MORPH,[CVBuff],Buffer#-A',A&,A&/STEM,GLF,,,#-A' w-suff,,A&,,DONE,
135,8.0014,MORPH,[CVBuff],Buffer#-A',A},A}/STEM,GLF,,,#-A' y-suff,,A},,DONE,
136,8.0015,MORPH,[CVBuff],Buffer#-A',A',A'/STEM,GLF,,,#-A' else,,A',,DONE,
137,8.0016,MORPH,[CVBuff],Buffer#-uw',uw},uw}/STEM,GLF,,,#-uw' w-suff||y-suff,,uw},,DONE,
138,8.0017,MORPH,[CVBuff],Buffer#-uw',uw',uw'/STEM,GLF,,,#-uw' z-suff,,uw',,DONE,
139,8.0018,MORPH,[CVBuff],Buffer#-iy',iy},iy}/STEM,GLF,,,#-iy' else,,iy},سيئوا سيئي,DONE,
140,8.0019,MORPH,[CVBuff],Buffer#-iy',iy',iy'/STEM,GLF,,,#-iy' z-suff else,,iy',سيء,DONE,
141,8.002,MORPH,[CVBuff],Buffer#-iy',iy},iy}/STEM,GLF,,,#-iy' z-suff enc0,,iy},سيئها,DONE,
142,8.0023,MORPH,[CVBuff],Buffer,_,_,GLF,,,_,_,_,جيئا جيئي جيئوا,DONE,
143,8.2,#,Command Verb Suffixes,,,,,,,,,,,,
144,8.2112,MORPH,[CVSuff],CVSuff.2MS,_,(null)/CVSUFF_SUBJ:2MS,GLF,[masc.sg.],asp:c per:2 gen:m num:s mod:i,,n-suff,_,اكتب,DONE,
145,8.221,MORPH,[CVSuff],CVSuff.2FS,iy,iy/CVSUFF_SUBJ:2FS,GLF,[fem.sg.],asp:c per:2 gen:f num:s mod:i,,v-suff y-suff,iy,اكتبي,DONE,
146,8.213,MORPH,[CVSuff],CVSuff.2P,awA,awA/CVSUFF_SUBJ:2P,GLF,[pl.],asp:c per:2 gen:u num:p mod:i,else,v-suff w-suff,awA,اكتبوا,DONE,
147,8.2131,MORPH,[CVSuff],CVSuff.2P,aw,awA/CVSUFF_SUBJ:2P,GLF,[pl.],asp:c per:2 gen:u num:p mod:i,enc0||enc1,v-suff w-suff,awA,اكتبوها,DONE,
148,8.213,MORPH,[CVSuff],CVSuff.2FP,in,in/CVSUFF_SUBJ:2FP,GLF,[fem.pl.],asp:c per:2 gen:f num:p mod:i,,v-suff ,in,اكتبن,DONE,
149,,,,,,,,,,,,,,,
150,9.0,#,Pronomonial clitics,,,,,,,,,,,,
151,200.0,MORPH,[PRON],_,_,_,,_,enc0:0,,_,_,,DONE,
152,200.1011,#MORPH,[PRON] ,niy/PRON.1S,niy,niy/XVSUFF_DO:1S,GLF,me,enc0:1s_dobj,trans !enc1,enc0 enc0:1*,_+niy,,DONE,
153,200.1031,#MORPH,[PRON] ,nA/PRON.1P,nA,nA/XVSUFF_DO:1P,GLF,us,enc0:1p_dobj,trans !enc1,enc0 enc0:1*,_+nA,,DONE,
154,200.2111,#MORPH,[PRON] ,ik/PRON.2MS,i#k,ik/XVSUFF_DO:2MS,GLF,you [masc.sg.],enc0:2ms_dobj,trans !enc1,enc0 enc0:2*,_+ik,,DONE,
155,200.2212,#MORPH,[PRON] ,ij/PRON.2FS,i#j,ij/XVSUFF_DO:2FS,GLF,you [fem.sg.],enc0:2fs_dobj,trans !enc1,enc0 enc0:2*,_+ij,,DONE,
156,200.2031,#MORPH,[PRON] ,kum/PRON.2P,kum,kum/XVSUFF_DO:2P,GLF,you [pl.],enc0:2p_dobj,trans !enc1,enc0 enc0:2*,_+kum,,DONE,
157,200.2031,#MORPH,[PRON] ,kin/PRON.2FP,kin,kin/XVSUFF_DO:2FP,GLF,you [fem.pl.],enc0:2fp_dobj,trans !enc1,enc0 enc0:2*,_+kin,,DONE,
158,200.3111,MORPH,[PRON] ,ah/PRON.3MS,a#h,ah/XVSUFF_DO:3MS,GLF,him,enc0:3ms_dobj,trans !enc1,enc0,_+ah,,DONE,
159,200.3211,#MORPH,[PRON] ,hA/PRON.3FS,hA,hA/XVSUFF_DO:3FS,GLF,her,enc0:3fs_dobj,trans !enc1,enc0,_+hA,,DONE,
160,200.3031,#MORPH,[PRON] ,hum/PRON.3P,hum ,hum/XVSUFF_DO:3P,GLF,them,enc0:3p_dobj,trans !enc1,enc0,_+hum,,DONE,
161,200.3031,#MORPH,[PRON] ,hin/PRON.3FP,hin,hin/XVSUFF_DO:3FP,GLF,them [fem.pl.],enc0:3fp_dobj,trans !enc1,enc0,_+hin,,DONE,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,9.0,#,Indirect Pronomonial clitics - li+PRON : independent of PRON; -- cannont co-exist.,,,,,,,,,,,,
165,200.0,#MORPH,[LPRON],_,_,_,,_,enc1:0,,_,_,,DONE,
166,200.1011,#MORPH,[LPRON],l/PREP+iy/PRON.1S,liy,l/PREP+iy/XVSUFF_IO:1S,GLF,to/for me,enc1:1s_iobj,!enc0,enc1 enc1:1*,_l_+iy,,,
167,200.1031,#MORPH,[LPRON],l/PREP+nA/PRON.1P,lnA,l/PREP+nA/XVSUFF_IO:1P,GLF,to/for us,enc1:1p_iobj,!enc0,enc1 enc1:1*,_l_+nA,,,
168,200.2111,#MORPH,[LPRON],l/PREP+ik/PRON.2MS,li#k,l/PREP+ik/XVSUFF_IO:2MS,GLF,to/for you [masc.sg.],enc1:2ms_iobj,!enc0,enc1 enc1:2*,_l_+ik,,,
169,200.2212,#MORPH,[LPRON],l/PREP+ij/PRON.2FS,li#j,l/PREP+ij/XVSUFF_IO:2FS,GLF,to/for you [fem.sg.],enc1:2fs_iobj,!enc0,enc1 enc1:2*,_l_+ij,,,
170,200.2031,#MORPH,[LPRON],l/PREP+kum/PRON.2P,lkum,l/PREP+kum/XVSUFF_IO:2P,GLF,to/for you [pl.],enc1:2p_iobj,!enc0,enc1 enc1:2*,_l_+kum,,,
171,200.2031,#MORPH,[LPRON],l/PREP+kin/PRON.2FP,lkin,l/PREP+kin/XVSUFF_IO:2FP,GLF,to/for you [fem.pl.],enc1:2fp_iobj,!enc0,enc1 enc1:2*,_l_+kin,,,
172,200.3111,#MORPH,[LPRON],l/PREP+ah/PRON.3MS,la#h,l/PREP+ah/XVSUFF_IO:3MS,GLF,to/for him,enc1:3ms_iobj,!enc0,enc1,_l_+ah,,,
173,200.3211,#MORPH,[LPRON],l/PREP+hA/PRON.3FS,lhA,l/PREP+hA/XVSUFF_IO:3FS,GLF,to/for her,enc1:3fs_iobj,!enc0,enc1,_l_+hA,,,
174,200.3031,#MORPH,[LPRON],l/PREP+hum/PRON.3P,lhum ,l/PREP+hum/XVSUFF_IO:3P,GLF,to/for them,enc1:3p_iobj,!enc0,enc1,_l_+hum,,,
175,200.3031,#MORPH,[LPRON],l/PREP+hin/PRON.3FP,lhin,l/PREP+hin/XVSUFF_IO:3FP,GLF,to/for them [fem.pl.],enc1:3fp_iobj,!enc0,enc1,_l_+hin,,,
