LEMMA	FORM	ROOT_NEW	BW	GLOSS	FEAT	COND-T	COND-S
{i$otirAEiy~	{i$otirAEiy~	$.r.E	ADJ	legislative	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i$otirAk	{i$otirAk	$.r.k	NOUN	partnership;participation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otirAk	{i$otirAk	$.r.k	NOUN	subscription	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otirAkiy~	{i$otirAkiy~	$.r.k	ADJ	socialist	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i$otirAkiy~ap	{i$otirAkiy~	$.r.k	NOUN	socialism	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
{i$otirAT	{i$otirAT	$.r.T	NOUN	condition;proviso;stipulation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otirATiy~ap	{i$otirATiy~	$.r.T	NOUN	clause;condition	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
{i$otiTAr	{i$otiTAr	$.T.r	NOUN	fission;separation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otiyAq	{i$otiyAq	$.w.q	NOUN	desire;craving	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibon	{ibon	b.n.w	NOUN	daughter	pos:noun gen:- num:- rat:r cas:u	FS||FD	
{ibon	{ibon	b.n.w	NOUN	son;junior_(Jr.)	pos:noun gen:- num:- rat:r cas:u	MS||MD	
{inoziwA'	{inoziwA	n.z.w	NOUN	seclusion;isolation;retirement	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iboti*Al	{iboti*Al	b.*.l	NOUN	degradation;vulgarity	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iboti$Ak	{iboti$Ak	b.$.k	NOUN	deceit	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iroEiwA'	{iroEiwA	r.E.y	NOUN	desisting;repenting;refraining	pos:noun gen:- num:- rat:i cas:u	MS||MD||FP	#A'@w
{ibotidA}iy~	{ibotidA}iy~	b.d.>	ADJ	elementary;preparatory	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ibotidAE	{ibotidAE	b.d.E	NOUN	innovation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotidAEiy~	{ibotidAEiy~	b.d.E	ADJ	innovative	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ibotiEAd	{ibotiEAd	b.E.d	NOUN	avoiding;eschewing	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{izodihA'	{izodihA	z.h.w	NOUN	flourishing;radiance;pride	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{ibotihAj	{ibotihAj	b.h.j	NOUN	rejoicing;delight	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotihAl	{ibotihAl	b.h.l	NOUN	supplication;prayer	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotihAr	{ibotihAr	b.h.r	NOUN	display;show	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotikAr	{ibotikAr	b.k.r	NOUN	invention	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotikAriy~	{ibotikAriy~	b.k.r	ADJ	original;inventive	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ibotikAriy~ap	{ibotikAriy~	b.k.r	NOUN	originality;inventiveness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
{izodirA'	{izodirA	z.r.y	NOUN	contempt;disregard	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{ibotisAm	{ibotisAm	b.s.m	NOUN	smiling	pos:noun gen:- num:- rat:i cas:u	MS||MD	
{ibotisAmap	{ibotisAm	b.s.m	NOUN	smile	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
{ibotiyAE	{ibotiyAE	b.y.E	NOUN	purchase	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotizAz	{ibotizAz	b.z.z	NOUN	embezzlement;extortion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotizAziy~	{ibotizAziy~	b.z.z	NOUN	embezzlement;extortion	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
{iboyiDAD	{iboyiDAD	b.y.D	NOUN	leukemia	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{i$otihA'	{i$otihA	$.h.w	NOUN	greed;appetite	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{id~igAm	{id~igAm	d.g.m	NOUN	incorporation;coalescence	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{id~ixAr	{id~ixAr	d.x.r	NOUN	storage;hoarding;saving	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{id~ixAriy~	{id~ixAriy~	d.x.r	ADJ	savings;storage	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{idolihomAm	{idolihomAm	d.l.h.m	NOUN	deep_black	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDomiHolAl	{iDomiHolAl	D.m.H.l	NOUN	disappearance;fading	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDoTihAd	{iDoTihAd	D.h.d	NOUN	persecution;oppression	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDoTilAE	{iDoTilAE	D.l.E	NOUN	taking_on;assuming;undertaking;being_familiar_with	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDoTirAb	{iDoTirAb	D.r.b	NOUN	disturbance;agitation;disorder	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDoTirAr	{iDoTirAr	D.r.r	NOUN	obligation;emergency;urgency	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iDoTirAriy~	{iDoTirAriy~	D.r.r	ADJ	obligatory;forced;emergency	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEoti*Ar	{iEoti*Ar	E.*.r	NOUN	apology;excuse	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotibAr	{iEotibAr	E.b.r	NOUN	consideration;regard	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotibAriy~	{iEotibAriy~	E.b.r	ADJ	consideration;regard	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotibAT	{iEotibAT	E.b.T	NOUN	premature_death	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotibATiy~	{iEotibATiy~	E.b.T	ADJ	arbitrary;fortuitous;inquisitorial	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotibATiy~ap	{iEotibATiy~	E.b.T	NOUN	arbitrariness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
{i$otikA'	{i$otikA	$.k.w	NOUN	complaint;recrimination	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iEotidA}iy~	{iEotidA}iy~	E.d.w	ADJ	aggressive;hostile	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotidAd	{iEotidAd	E.d.d	NOUN	confidence;reliance	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotidAdiy~	{iEotidAdiy~	E.d.d	ADJ	confident	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotidAl	{iEotidAl	E.d.l	NOUN	moderateness;evenness	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotidAliy~	{iEotidAliy~	E.d.l	ADJ	moderate;balanced	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{i$otirA'	{i$otirA	$.r.y	NOUN	purchase	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iEotilAl	{iEotilAl	E.l.l	NOUN	illness;weakness;defectiveness	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotimAd	{iEotimAd	E.m.d	NOUN	funds;financing	pos:noun gen:m num:- rat:i cas:u	FP	
{iEotimAd	{iEotimAd	E.m.d	NOUN	reliance;dependence;recognition	pos:noun gen:m num:- rat:i cas:u	MS	
{iEotimAdiy~	{iEotimAdiy~	E.m.d	ADJ	financial	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotimAdiy~ap	{iEotimAdiy~	E.m.d	NOUN	dependence;dependency;reliance	pos:noun gen:f num:s rat:i cas:u	FS||FD	
{iEotimAdiy~ap	{iEotimAdiy~	E.m.d	NOUN	reliability	pos:noun gen:f num:s rat:i cas:u	FS||FD	
{ibotidA'	{ibotidA	b.d.>	NOUN	beginning;start	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'
{iEotinAq	{iEotinAq	E.n.q	NOUN	adoption;embracing	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiqAd	{iEotiqAd	E.q.d	NOUN	belief;conviction	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiqAdiy~	{iEotiqAdiy~	E.q.d	ADJ	dogmatic;dogmatism	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotiqAdiy~ap	{iEotiqAdiy~	E.q.d	NOUN	dogmatism	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
{iEotiqAl	{iEotiqAl	E.q.l	NOUN	arrest;detention	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiqAliy~	{iEotiqAliy~	E.q.l	ADJ	concentration_camp	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotirAD	{iEotirAD	E.r.D	NOUN	opposition;resistance;insertion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotirADiy~	{iEotirADiy~	E.r.D	ADJ	opposition;parenthetical	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotirAf	{iEotirAf	E.r.f	NOUN	acknowledgment;recognition;admission;confession	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiSAb	{iEotiSAb	E.S.b	NOUN	strike	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotisAf	{iEotisAf	E.s.f	NOUN	deviation;coercion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiSAm	{iEotiSAm	E.S.m	NOUN	refuge;preservation;adhering;preserving	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiSAm	{iEotiSAm	E.S.m	NOUN	sit-in_strike;occupation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiyAd	{iEotiyAd	E.w.d	NOUN	habituation;getting_used_to	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotiyAdiy~	{iEotiyAdiy~	E.w.d	ADJ	customary;normal;regular;ordinary	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iEotiyAS	{iEotiyAS	E.w.S	NOUN	difficulty;intractability	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotizAl	{iEotizAl	E.z.l	NOUN	retirement;seclusion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotizAm	{iEotizAm	E.z.m	NOUN	determination;resolve	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotizAr	{iEotizAr	E.z.r	NOUN	self-discipline	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotizAz	{iEotizAz	E.z.z	NOUN	pride	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEowijAj	{iEowijAj	E.w.j	NOUN	contortion;distortion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEowijAj	{iEowijAj	E.w.j	NOUN	curvature;bending	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifoti}At	{ifoti}At	f.t.>	NOUN	oppression;violence	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ibotigA'	{ibotigA	b.g.y	NOUN	desire;wish;aim;purpose	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{ifotiDAD	{ifotiDAD	f.D.D	NOUN	defloration	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotiDAH	{ifotiDAH	f.D.H	NOUN	ignominy	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotiEAl	{ifotiEAl	f.E.l	NOUN	provoking;inciting;concocting	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotikAk	{ifotikAk	f.k.k	NOUN	redemption	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotinAn	{ifotinAn	f.n.n	NOUN	diversity	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotiqAd	{ifotiqAd	f.q.d	NOUN	missing;feeling_the_loss_of	pos:noun gen:- num:- rat:i cas:u	MS||MD	
{ifotiqAd	{ifotiqAd	f.q.d	NOUN	review;inspection	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotiqAr	{ifotiqAr	f.q.r	NOUN	needing;requiring	pos:noun gen:- num:- rat:i cas:u	MS||MD	
{ifotiqArAt	{ifotiqAr	f.q.r	NOUN	needs;requirements	pos:noun gen:m num:- rat:i cas:u	FP	
{ibotilA'	{ibotilA	b.l.w	NOUN	affliction;tribulation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{ifotirA}iy~	{ifotirA}iy~	f.r.y	ADJ	false;slanderous	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ifotirAD	{ifotirAD	f.r.D	NOUN	assumption;supposition;hypothesis	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotirADiy~	{ifotirADiy~	f.r.D	ADJ	hypothetical	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ifotirAq	{ifotirAq	f.r.q	NOUN	separation;division	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotirAs	{ifotirAs	f.r.s	NOUN	rapaciousness;predatory;devouring	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotitAH	{ifotitAH	f.t.H	NOUN	opening;inauguration	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotitAHiy~	{ifotitAHiy~	f.t.H	ADJ	opening;introductory	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ifotitAHiy~ap	{ifotitAHiy~	f.t.H	NOUN	leading;opening	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
{ifotixAr	{ifotixAr	f.x.r	NOUN	pride;boasting	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotiyAt	{ifotiyAt	f.w.t	NOUN	betrayal;offense	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igobirAr	{igobirAr	g.b.r	NOUN	resentment;grayness	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotibAT	{igotibAT	g.b.T	NOUN	contentment;rejoicing	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotidA'	{iEotidA	E.d.w	NOUN	attack;aggression;assault	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{igotinAm	{igotinAm	g.n.m	NOUN	profiting_from;seizing_(opportunity)	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotirAb	{igotirAb	g.r.b	NOUN	emigration;alienation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotirAbiy~	{igotirAbiy~	g.r.b	ADJ	migratory;emigration	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{igotirAf	{igotirAf	g.r.f	NOUN	scooping_up	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotiSAb	{igotiSAb	g.S.b	NOUN	rape;usurpation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotisAl	{igotisAl	g.s.l	NOUN	washing;bath;ablution	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotiyAb	{igotiyAb	g.y.b	NOUN	slander;denigration;gossip_about	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotiyAl	{igotiyAl	g.y.l	NOUN	assassination;murder	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotiyAZ	{igotiyAZ	g.y.Z	NOUN	fury;rage	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHodiydAb	{iHodiydAb	H.d.b	NOUN	humped;kyphosis	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHomirAr	{iHomirAr	H.m.r	NOUN	reddening;blushing	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHoqAq	{iHoqAq	H.q.q	NOUN	enforcement;making_right;establishing	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotilA'	{iEotilA	E.l.w	NOUN	ascension;accession_to_office	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iHoti$Ad	{iHoti$Ad	H.$.d	NOUN	crowd;concentration	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHoti$Am	{iHoti$Am	H.$.m	NOUN	shyness;modesty	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotibAs	{iHotibAs	H.b.s	NOUN	retention;obstruction	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotidAd	{iHotidAd	H.d.d	NOUN	anger;agitation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotidAm	{iHotidAm	H.d.m	NOUN	paroxysm;outburst	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiDAn	{iHotiDAn	H.D.n	NOUN	embrace	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiDAr	{iHotiDAr	H.D.r	NOUN	demise;death	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iEotinA'	{iEotinA	E.n.y	NOUN	attention;care;concern	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iHotifAl	{iHotifAl	H.f.l	NOUN	celebration;ceremony	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotifAliy~	{iHotifAliy~	H.f.l	ADJ	ceremonial;festive	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotifAZ	{iHotifAZ	H.f.Z	NOUN	safeguarding;preservation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotijAb	{iHotijAb	H.j.b	NOUN	concealment;veiling	pos:noun gen:m num:- rat:i cas:u	MS	
{iHotijAb	{iHotijAb	H.j.b	NOUN	concealing;protecting	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotijAj	{iHotijAj	H.j.j	NOUN	protest	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotijAjiy~	{iHotijAjiy~	H.j.j	ADJ	protest	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotijAz	{iHotijAz	H.j.z	NOUN	detention;confiscation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotikAk	{iHotikAk	H.k.k	NOUN	friction	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotikAkiy~	{iHotikAkiy~	H.k.k	ADJ	frictional	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotikAr	{iHotikAr	H.k.r	NOUN	monopoly;hoarding	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotikAriy~	{iHotikAriy~	H.k.r	ADJ	monopoly;hoarding	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotilAl	{iHotilAl	H.l.l	NOUN	occupation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotilAliy~	{iHotilAliy~	H.l.l	ADJ	occupying;occupation	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ifotidA'	{ifotidA	f.d.y	NOUN	ransoming;self-sacrifice	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iHotimAl	{iHotimAl	H.m.l	NOUN	possibility;probability;likelihood;scenario	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotimAliy~	{iHotimAliy~	H.m.l	NOUN	likelihood;probability;possibility	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
{ihotimAm	{ihotimAm	h.m.m	NOUN	interest;concern;care;attention	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiqAn	{iHotiqAn	H.q.n	NOUN	congestion;flush	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiqAr	{iHotiqAr	H.q.r	NOUN	scorn;contempt	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAf	{iHotirAf	H.r.f	NOUN	professional;professionalism	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAfiy~	{iHotirAfiy~	H.r.f	ADJ	professional	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotirAm	{iHotirAm	H.r.m	NOUN	respect;honoring	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAq	{iHotirAq	H.r.q	NOUN	burning;combustion	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAs	{iHotirAs	H.r.s	NOUN	protection;precaution	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAz	{iHotirAz	H.r.z	NOUN	caution;reserve	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotirAziy~	{iHotirAziy~	H.r.z	ADJ	precautionary	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotisAb	{iHotisAb	H.s.b	NOUN	calculation;examination	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ifotirA'	{ifotirA	f.r.y	NOUN	lying;falsehood	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{iHotiyAj	{iHotiyAj	H.w.j	NOUN	need;requirement	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiyAl	{iHotiyAl	H.w.l	NOUN	fraud;deception;cheating	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiyAT	{iHotiyAT	H.w.T	NOUN	caution;precaution	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{iHotiyATiy~	{iHotiyATiy~	H.w.T	ADJ	precautionary;contingency;reserve	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{iHotiyATiy~	{iHotiyATiy~	H.w.T	NOUN	reserves_(econ.,_geol.,_milit.,_spo.)	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ihotizAz	{ihotizAz	h.z.z	NOUN	commotion;agitation	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ihotizAz	{ihotizAz	h.z.z	NOUN	tremor;shock;vibration	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ihotizAzap	{ihotizAz	h.z.z	NOUN	tremor;convulsion;vibration	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
{ihotizAziy~	{ihotizAziy~	h.z.z	ADJ	shock;tremor	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ijotihAd	{ijotihAd	j.h.d	NOUN	effort;independent_thinking;reinterpretation_of_the_Koran_(in_light_of_changing_circumstances)	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{igotinA'	{igotinA	g.n.y	NOUN	getting_rich	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	#A'@w
{ijotimAE	{ijotimAE	j.m.E	NOUN	meeting;gathering;society	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ijotimAEiy~	{ijotimAEiy~	j.m.E	ADJ	social	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
{ijotinAb	{ijotinAb	j.n.b	NOUN	avoidance	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
{ijotirAH	{ijotirAH	j.r.H	NOUN	winning;gaining	pos:noun gen:- num:- rat:i cas:u	MS||MD	
